run_id,map_group,map_name,n_agents,algorithm,seed,status,planning_stop_reason,planning_time_seconds,planning_peak_memory_delta_mb,evaluation_successful_episodes,evaluation_failed_episodes,evaluation_episodes_completed,evaluation_uncompleted_episodes,evaluation_scheduled_episodes,evaluation_success_rate,evaluation_time_seconds,condition_time_seconds
mmdp-rtdp-v1|easy|empty-8-8|a1|seed20260708|baseline,easy,empty-8-8,1,baseline,20260708,ok,initial_state_solved,0.0011818389999973533,0.19921875,5,0,5,0,5,1.0,0.0002815519999899152,0.16632798599999887
mmdp-rtdp-v1|easy|empty-8-8|a1|seed20260708|od,easy,empty-8-8,1,od,20260708,ok,initial_state_solved,0.0020784639999931187,0.14453125,5,0,5,0,5,1.0,0.0004628049999837458,0.16549322299999858
mmdp-rtdp-v1|easy|empty-8-8|a2|seed20260708|baseline,easy,empty-8-8,2,baseline,20260708,ok,initial_state_solved,0.006071802999997544,0.26953125,5,0,5,0,5,1.0,0.0009609800000021096,0.16593407099998103
mmdp-rtdp-v1|easy|empty-8-8|a2|seed20260708|od,easy,empty-8-8,2,od,20260708,ok,initial_state_solved,0.008490803000000824,0.2421875,5,0,5,0,5,1.0,0.004191641000005575,0.16593272400001524
mmdp-rtdp-v1|easy|empty-8-8|a3|seed20260708|baseline,easy,empty-8-8,3,baseline,20260708,ok,initial_state_solved,0.2000141679999956,3.78515625,5,0,5,0,5,1.0,0.011349203000008856,0.4166916109999761
mmdp-rtdp-v1|easy|empty-8-8|a3|seed20260708|od,easy,empty-8-8,3,od,20260708,ok,initial_state_solved,0.04906674099999009,0.5,5,0,5,0,5,1.0,0.011218152999987296,0.21540233499999317
mmdp-rtdp-v1|easy|empty-8-8|a4|seed20260708|baseline,easy,empty-8-8,4,baseline,20260708,ok,initial_state_solved,7.970057525000016,106.68359375,5,0,5,0,5,1.0,0.028929570000002514,8.197015647
mmdp-rtdp-v1|easy|empty-8-8|a4|seed20260708|od,easy,empty-8-8,4,od,20260708,ok,initial_state_solved,0.3783000619999939,1.5859375,5,0,5,0,5,1.0,0.031296556999990344,0.566810342999986
mmdp-rtdp-v1|easy|empty-8-8|a5|seed20260708|baseline,easy,empty-8-8,5,baseline,20260708,ok,time_limit,60.000389584000004,343.6875,5,0,5,0,5,1.0,0.7804413579999903,61.36065221800001
mmdp-rtdp-v1|easy|empty-8-8|a5|seed20260708|od,easy,empty-8-8,5,od,20260708,ok,initial_state_solved,2.8722446669999897,6.3125,5,0,5,0,5,1.0,0.14232496700000752,3.184821931999977
